Name,Ticker,Sector,Industry,Country
CAPITAL ONE FINANCIAL CORP,COF,Financial Services,Credit Services,United States
LOWE S COS INC,LOW,Consumer Cyclical,Home Improvement Retail,United States
VERTEX PHARMACEUTICALS INC,VRTX,Healthcare,Biotechnology,United States
DELL TECHNOLOGIES  C,DELL,Technology,Computer Hardware,United States
DANAHER CORP,DHR,Healthcare,Diagnostics & Research,United States
VERTIV HOLDINGS CO A,VRT,Industrials,Electrical Equipment & Parts,United States
PARKER HANNIFIN CORP,PH,Industrials,Specialty Industrial Machinery,United States
ALTRIA GROUP INC,MO,Consumer Defensive,Tobacco,United States
STARBUCKS CORP,SBUX,Consumer Cyclical,Restaurants,United States
BRISTOL MYERS SQUIBB CO,BMY,Healthcare,Drug Manufacturers - General,United States
STRYKER CORP,SYK,Healthcare,Medical Devices,United States
TRANE TECHNOLOGIES PLC,TT,Industrials,Building Products & Equipment,Ireland
HOWMET AEROSPACE INC,HWM,Industrials,Aerospace & Defense,United States
SOUTHERN CO/THE,SO,Utilities,Utilities - Regulated Electric,United States
SERVICENOW INC,NOW,Technology,Software - Application,United States
LOCKHEED MARTIN CORP,LMT,Industrials,Aerospace & Defense,United States
CADENCE DESIGN SYS INC,CDNS,Technology,Software - Application,United States
MEDTRONIC PLC,MDT,Healthcare,Medical Devices,Ireland
BANK OF NEW YORK MELLON CORP,BNY,Financial Services,Banks - Diversified,United States
QUANTA SERVICES INC,PWR,Industrials,Engineering & Construction,United States
DUKE ENERGY CORP,DUK,Utilities,Utilities - Regulated Electric,United States
NEWMONT CORP,NEM,Basic Materials,Gold,United States
PNC FINANCIAL SERVICES GROUP,PNC,Financial Services,Banks - Regional,United States
FORTINET INC,FTNT,Technology,Software - Infrastructure,United States
EQUINIX INC,EQIX,Real Estate,REIT - Specialty,United States
US BANCORP,USB,Financial Services,Banks - Regional,United States
MCKESSON CORP,MCK,Healthcare,Medical Distribution,United States
CUMMINS INC,CMI,Industrials,Specialty Industrial Machinery,United States
AUTOMATIC DATA PROCESSING,ADP,Technology,Software - Application,United States
ELEVANCE HEALTH INC,ELV,Healthcare,Healthcare Plans,United States
WILLIAMS COS INC,WMB,Energy,Oil & Gas Midstream,United States
