Name,Ticker,Sector,Industry,Country
FIDELITY NATIONAL INFO SERV,FIS,Technology,Information Technology Services,United States
US FOODS HOLDING CORP,USFD,Consumer Defensive,Food Distribution,United States
F5 INC,FFIV,Technology,Software - Infrastructure,United States
DOLLAR TREE INC,DLTR,Consumer Defensive,Discount Stores,United States
STERIS PLC,STE,Healthcare,Medical Devices,Ireland
RB GLOBAL INC,RBA,Industrials,Specialty Business Services,United States
COGNIZANT TECH SOLUTIONS A,CTSH,Technology,Information Technology Services,United States
KRAFT HEINZ CO/THE,KHC,Consumer Defensive,Packaged Foods,United States
BURLINGTON STORES INC,BURL,Consumer Cyclical,Apparel Retail,United States
AMCOR PLC,AMCR,Consumer Cyclical,Packaging & Containers,Switzerland
TD SYNNEX CORP,SNX,Technology,Electronics & Computer Distribution,United States
INTL FLAVORS + FRAGRANCES,IFF,Basic Materials,Specialty Chemicals,United States
VERALTO CORP,VLTO,Industrials,Pollution & Treatment Controls,United States
EXPEDITORS INTL WASH INC,EXPD,Industrials,Integrated Freight & Logistics,United States
INTERNATIONAL PAPER CO,IP,Consumer Cyclical,Packaging & Containers,United States
LATTICE SEMICONDUCTOR CORP,LSCC,Technology,Semiconductors,United States
GENERAL MILLS INC,GIS,Consumer Defensive,Packaged Foods,United States
DUPONT DE NEMOURS INC,DD,Basic Materials,Specialty Chemicals,United States
EVERGY INC,EVRG,Utilities,Utilities - Regulated Electric,United States
SBA COMMUNICATIONS CORP,SBAC,Real Estate,REIT - Specialty,United States
EQUIFAX INC,EFX,Industrials,Consulting Services,United States
VERISIGN INC,VRSN,Technology,Software - Infrastructure,United States
BROWN + BROWN INC,BRO,Financial Services,Insurance Brokers,United States
VIATRIS INC,VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,United States
HP INC,HPQ,Technology,Computer Hardware,United States
OMNICOM GROUP,OMC,Communication Services,Advertising Agencies,United States
PRINCIPAL FINANCIAL GROUP,PFG,Financial Services,Asset Management,United States
ALLIANT ENERGY CORP,LNT,Utilities,Utilities - Regulated Electric,United States
DOW INC,DOW,Basic Materials,Chemicals,United States
LENNAR CORP W/D,LEN,Consumer Cyclical,Residential Construction,United States
LENNOX INTERNATIONAL INC,LII,Industrials,Building Products & Equipment,United States
ULTA BEAUTY INC,ULTA,Consumer Cyclical,Specialty Retail,United States
ESTEE LAUDER COMPANIES CL A,EL,Consumer Defensive,Household & Personal Products,United States
HUNT (JB) TRANSPRT SVCS INC,JBHT,Industrials,Integrated Freight & Logistics,United States
NISOURCE INC,NI,Utilities,Utilities - Regulated Gas,United States
FABRINET,FN,Technology,Electronic Components,Cayman Islands
ESSEX PROPERTY TRUST INC,ESS,Real Estate,REIT - Residential,United States
CDW CORP/DE,CDW,Technology,Information Technology Services,United States
TTM TECHNOLOGIES,TTMI,Technology,Electronic Components,United States
EAST WEST BANCORP INC,EWBC,Financial Services,Banks - Regional,United States
WR BERKLEY CORP,WRB,Financial Services,Insurance - Property & Casualty,United States
RBC BEARINGS INC,RBC,Industrials,Tools & Accessories,United States
RELIANCE INC,RS,Basic Materials,Steel,United States
MACOM TECHNOLOGY SOLUTIONS H,MTSI,Technology,Semiconductors,United States
ROKU INC,ROKU,Communication Services,Entertainment,United States
EXPAND ENERGY CORP,EXE,Energy,Oil & Gas E&P,United States
CONSTELLATION BRANDS INC A,STZ,Consumer Defensive,Beverages - Brewers,United States
BWX TECHNOLOGIES INC,BWXT,Industrials,Aerospace & Defense,United States
TRACTOR SUPPLY COMPANY,TSCO,Consumer Cyclical,Specialty Retail,United States
WEYERHAEUSER CO,WY,Real Estate,REIT - Specialty,United States
PERFORMANCE FOOD GROUP CO,PFGC,Consumer Defensive,Food Distribution,United States
INVITATION HOMES INC,INVH,Real Estate,REIT - Residential,United States
ZIMMER BIOMET HOLDINGS INC,ZBH,Healthcare,Medical Devices,United States
IDEX CORP,IEX,Industrials,Specialty Industrial Machinery,United States
TYSON FOODS INC CL A,TSN,Consumer Defensive,Farm Products,United States
LOEWS CORP,L,Financial Services,Insurance - Property & Casualty,United States
AKAMAI TECHNOLOGIES INC,AKAM,Technology,Software - Infrastructure,United States
KIMCO REALTY CORP,KIM,Real Estate,REIT - Retail,United States
INCYTE CORP,INCY,Healthcare,Biotechnology,United States
GENERAC HOLDINGS INC,GNRC,Industrials,Specialty Industrial Machinery,United States
GENUINE PARTS CO,GPC,Consumer Cyclical,Auto Parts,United States
DICK S SPORTING GOODS INC,DKS,Consumer Cyclical,Specialty Retail,United States
COEUR MINING INC,CDE,Basic Materials,Gold,United States
FORTIVE CORP,FTV,Technology,Scientific & Technical Instruments,United States
BROADRIDGE FINANCIAL SOLUTIO,BR,Technology,Information Technology Services,United States
ITT INC,ITT,Industrials,Specialty Industrial Machinery,United States
HOST HOTELS + RESORTS INC,HST,Real Estate,REIT - Hotel & Motel,United States
MID AMERICA APARTMENT COMM,MAA,Real Estate,REIT - Residential,United States
ALBEMARLE CORP,ALB,Basic Materials,Specialty Chemicals,United States
TALEN ENERGY CORP,TLN,Utilities,Utilities - Independent Power Producers,United States
NVR INC,NVR,Consumer Cyclical,Residential Construction,United States
JACOBS SOLUTIONS INC,J,Industrials,Engineering & Construction,United States
RALPH LAUREN CORP,RL,Consumer Cyclical,Apparel Manufacturing,United States
FEDEX FREIGHT HOLDING CO,FDXF,Industrials,Integrated Freight & Logistics,United States
ONTO INNOVATION INC,ONTO,Technology,Semiconductor Equipment & Materials,United States
NEUROCRINE BIOSCIENCES INC,NBIX,Healthcare,Drug Manufacturers - Specialty & Generic,United States
JONES LANG LASALLE INC,JLL,Real Estate,Real Estate Services,United States
CF INDUSTRIES HOLDINGS INC,CF,Basic Materials,Agricultural Inputs,United States
REGAL REXNORD CORP,RRX,Industrials,Specialty Industrial Machinery,United States
ROYAL GOLD INC,RGLD,Basic Materials,Gold,United States
BUNGE GLOBAL SA,BG,Consumer Defensive,Farm Products,United States
BALL CORP,BALL,Consumer Cyclical,Packaging & Containers,United States
BEST BUY CO INC,BBY,Consumer Cyclical,Specialty Retail,United States
LINCOLN ELECTRIC HOLDINGS,LECO,Industrials,Tools & Accessories,United States
NORDSON CORP,NDSN,Industrials,Specialty Industrial Machinery,United States
GLOBE LIFE INC,GL,Financial Services,Insurance - Life,United States
PINNACLE FINANCIAL PARTNERS,PNFP,Financial Services,Banks - Regional,United States
EVEREST GROUP LTD,EG,Financial Services,Insurance - Reinsurance,Bermuda
GEN DIGITAL INC,GEN,Technology,Software - Infrastructure,United States
TENET HEALTHCARE CORP,THC,Healthcare,Medical Care Facilities,United States
WP CAREY INC,WPC,Real Estate,REIT - Diversified,United States
GLOBAL PAYMENTS INC,GPN,Industrials,Specialty Business Services,United States
API GROUP CORP,APG,Industrials,Engineering & Construction,United States
DECKERS OUTDOOR CORP,DECK,Consumer Cyclical,Footwear & Accessories,United States
DYCOM INDUSTRIES INC,DY,Industrials,Engineering & Construction,United States
ARAMARK,ARMK,Industrials,Specialty Business Services,United States
RPM INTERNATIONAL INC,RPM,Basic Materials,Specialty Chemicals,United States
SOMNIGROUP INTERNATIONAL INC,SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States
NEXTPOWER INC CL A,NXT,Technology,Solar,United States
WESCO INTERNATIONAL INC,WCC,Industrials,Industrial Distribution,United States
HEALTHPEAK PROPERTIES INC,DOC,Real Estate,REIT - Healthcare Facilities,United States
RAMBUS INC,RMBS,Technology,Semiconductors,United States
STANLEY BLACK + DECKER INC,SWK,Industrials,Tools & Accessories,United States
PTC INC,PTC,Technology,Software - Application,United States
REVVITY INC,RVTY,Healthcare,Diagnostics & Research,United States
TRANSUNION,TRU,Financial Services,Financial Data & Stock Exchanges,United States
MASCO CORP,MAS,Industrials,Building Products & Equipment,United States
CLEAN HARBORS INC,CLH,Industrials,Waste Management,United States
ASSURANT INC,AIZ,Financial Services,Insurance - Property & Casualty,United States
REINSURANCE GROUP OF AMERICA,RGA,Financial Services,Insurance - Reinsurance,United States
TEXTRON INC,TXT,Industrials,Aerospace & Defense,United States
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,Technology,Communication Equipment,United States
EXELIXIS INC,EXEL,Healthcare,Biotechnology,United States
LAMAR ADVERTISING CO A,LAMR,Real Estate,REIT - Specialty,United States
EQUITABLE HOLDINGS INC,EQH,Financial Services,Asset Management,United States
WEBSTER FINANCIAL CORP,WBS,Financial Services,Banks - Regional,United States
COOPER COS INC/THE,COO,Healthcare,Medical Instruments & Supplies,United States
LEIDOS HOLDINGS INC,LDOS,Technology,Information Technology Services,United States
MOLINA HEALTHCARE INC,MOH,Healthcare,Healthcare Plans,United States
DT MIDSTREAM INC,DTM,Energy,Oil & Gas Midstream,United States
JAZZ PHARMACEUTICALS PLC,JAZZ,Healthcare,Biotechnology,Ireland
TOLL BROTHERS INC,TOL,Consumer Cyclical,Residential Construction,United States
NUTANIX INC   A,NTNX,Technology,Software - Infrastructure,United States
LYONDELLBASELL INDU CL A,LYB,Basic Materials,Specialty Chemicals,United Kingdom
APPLIED INDUSTRIAL TECH INC,AIT,Industrials,Industrial Distribution,United States
OWENS CORNING,OC,Industrials,Building Products & Equipment,United States
CROWN HOLDINGS INC,CCK,Consumer Cyclical,Packaging & Containers,United States
LULULEMON ATHLETICA INC,LULU,Consumer Cyclical,Apparel Retail,Canada
KNIGHT SWIFT TRANSPORTATION,KNX,Industrials,Trucking,United States
OVINTIV INC,OVV,Energy,Oil & Gas E&P,United States
AVERY DENNISON CORP,AVY,Consumer Cyclical,Packaging & Containers,United States
REGENCY CENTERS CORP,REG,Real Estate,REIT - Retail,United States
TRIMBLE INC,TRMB,Technology,Scientific & Technical Instruments,United States
RENAISSANCERE HOLDINGS LTD,RNR,Financial Services,Insurance - Reinsurance,Bermuda
MCCORMICK + CO NON VTG SHRS,MKC,Consumer Defensive,Packaged Foods,United States
ADVANCED ENERGY INDUSTRIES,AEIS,Industrials,Electrical Equipment & Parts,United States
WATSCO INC,WSO,Industrials,Industrial Distribution,United States
MUELLER INDUSTRIES INC,MLI,Industrials,Metal Fabrication,United States
TOAST INC CLASS A,TOST,Technology,Software - Infrastructure,United States
ALIGN TECHNOLOGY INC,ALGN,Healthcare,Medical Instruments & Supplies,United States
SANMINA CORP,SANM,Technology,Electronic Components,United States
PERMIAN RESOURCES CORP CL A,PR,Energy,Oil & Gas E&P,United States
APTIV PLC,APTV,Consumer Cyclical,Auto Parts,Switzerland
MEDPACE HOLDINGS INC,MEDP,Healthcare,Diagnostics & Research,United States
SUPER MICRO COMPUTER INC,SMCI,Technology,Computer Hardware,United States
FIRST HORIZON CORP,FHN,Financial Services,Banks - Regional,United States
CARLISLE COS INC,CSL,Industrials,Building Products & Equipment,United States
PENTAIR PLC,PNR,Industrials,Specialty Industrial Machinery,United Kingdom
LAS VEGAS SANDS CORP,LVS,Consumer Cyclical,Resorts & Casinos,United States
SOLSTICE ADV MATERIALS INC,SOLS,Basic Materials,Specialty Chemicals,United States
ALLEGION PLC,ALLE,Industrials,Security & Protection Services,Ireland
GODADDY INC   CLASS A,GDDY,Technology,Software - Infrastructure,United States
EVERCORE INC   A,EVR,Financial Services,Capital Markets,United States
COGNEX CORP,CGNX,Technology,Scientific & Technical Instruments,United States
TEXAS ROADHOUSE INC,TXRH,Consumer Cyclical,Restaurants,United States
GRACO INC,GGG,Industrials,Specialty Industrial Machinery,United States
ALLY FINANCIAL INC,ALLY,Financial Services,Credit Services,United States
MOOG INC CLASS A,MOG-A,Industrials,Aerospace & Defense,United States
TYLER TECHNOLOGIES INC,TYL,Technology,Software - Application,United States
PINNACLE WEST CAPITAL,PNW,Utilities,Utilities - Regulated Electric,United States
FIDELITY NATIONAL FINANCIAL,FNF,Financial Services,Insurance - Specialty,United States
ROIVANT SCIENCES LTD,ROIV,Healthcare,Biotechnology,United Kingdom
UDR INC,UDR,Real Estate,REIT - Residential,United States
JM SMUCKER CO/THE,SJM,Consumer Defensive,Packaged Foods,United States
COSTAR GROUP INC,CSGP,Real Estate,Real Estate Services,United States
CHARTER COMMUNICATIONS INC A,CHTR,Communication Services,Telecom Services,United States
HUNTINGTON INGALLS INDUSTRIE,HII,Industrials,Aerospace & Defense,United States
ROLLINS INC,ROL,Consumer Cyclical,Personal Services,United States
CAMDEN PROPERTY TRUST,CPT,Real Estate,REIT - Residential,United States
CLOROX COMPANY,CLX,Consumer Defensive,Household & Personal Products,United States
RYDER SYSTEM INC,R,Industrials,Rental & Leasing Services,United States
ELANCO ANIMAL HEALTH INC,ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,United States
LITTELFUSE INC,LFUS,Technology,Electronic Components,United States
EQUITY LIFESTYLE PROPERTIES,ELS,Real Estate,REIT - Residential,United States
GAMING AND LEISURE PROPERTIE,GLPI,Real Estate,REIT - Specialty,United States
PINTEREST INC  CLASS A,PINS,Communication Services,Internet Content & Information,United States
SAIA INC,SAIA,Industrials,Trucking,United States
ARROW ELECTRONICS INC,ARW,Technology,Electronics & Computer Distribution,United States
PENUMBRA INC,PEN,Healthcare,Medical Devices,United States
OMEGA HEALTHCARE INVESTORS,OHI,Real Estate,REIT - Healthcare Facilities,United States
INSULET CORP,PODD,Healthcare,Medical Devices,United States
UNUM GROUP,UNM,Financial Services,Insurance - Life,United States
AMERICAN AIRLINES GROUP INC,AAL,Industrials,Airlines,United States
ACUITY INC,AYI,Industrials,Electrical Equipment & Parts,United States
FORMFACTOR INC,FORM,Technology,Semiconductor Equipment & Materials,United States
CHARLES RIVER LABORATORIES,CRL,Healthcare,Diagnostics & Research,United States
BJ S WHOLESALE CLUB HOLDINGS,BJ,Consumer Defensive,Discount Stores,United States
SERVICE CORP INTERNATIONAL,SCI,Consumer Cyclical,Personal Services,United States
APA CORP,APA,Energy,Oil & Gas E&P,United States
BORGWARNER INC,BWA,Consumer Cyclical,Auto Parts,United States
STIFEL FINANCIAL CORP,SF,Financial Services,Capital Markets,United States
ZIONS BANCORP NA,ZION,Financial Services,Banks - Regional,United States
BIO TECHNE CORP,TECH,Healthcare,Biotechnology,United States
DYNATRACE INC,DT,Technology,Software - Application,United States
DONALDSON CO INC,DCI,Industrials,Specialty Industrial Machinery,United States
BAXTER INTERNATIONAL INC,BAX,Healthcare,Medical Instruments & Supplies,United States
HF SINCLAIR CORP,DINO,Energy,Oil & Gas Refining & Marketing,United States
WATTS WATER TECHNOLOGIES A,WTS,Industrials,Specialty Industrial Machinery,United States
BIOMARIN PHARMACEUTICAL INC,BMRN,Healthcare,Biotechnology,United States
SOLVENTUM CORP,SOLV,Healthcare,Medical Instruments & Supplies,United States
JACK HENRY + ASSOCIATES INC,JKHY,Technology,Information Technology Services,United States
ANNALY CAPITAL MANAGEMENT IN,NLY,Real Estate,REIT - Mortgage,United States
VIAVI SOLUTIONS INC,VIAV,Technology,Communication Equipment,United States
SKYWORKS SOLUTIONS INC,SWKS,Technology,Semiconductors,United States
AMERICAN HOMES 4 RENT  A,AMH,Real Estate,REIT - Residential,United States
HASBRO INC,HAS,Consumer Cyclical,Leisure,United States
NEW YORK TIMES CO A,NYT,Communication Services,Publishing,United States
GUIDEWIRE SOFTWARE INC,GWRE,Technology,Software - Application,United States
CRANE CO,CR,Industrials,Specialty Industrial Machinery,United States
INVESCO LTD,IVZ,Financial Services,Asset Management,United States
SPX TECHNOLOGIES INC,SPXC,Industrials,Building Products & Equipment,United States
ARGAN INC,AGX,Industrials,Engineering & Construction,United States
SHARKNINJA INC,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States
GARTNER INC,IT,Technology,Information Technology Services,United States
FOX CORP   CLASS A,FOXA,Communication Services,Entertainment,United States
SITIME CORP,SITM,Technology,Semiconductors,United States
MATCH GROUP INC,MTCH,Communication Services,Internet Content & Information,United States
ENCOMPASS HEALTH CORP,EHC,Healthcare,Medical Care Facilities,United States
TORO CO,TTC,Industrials,Tools & Accessories,United States
BUILDERS FIRSTSOURCE INC,BLDR,Industrials,Building Products & Equipment,United States
FIVE BELOW,FIVE,Consumer Cyclical,Specialty Retail,United States
HECLA MINING CO,HL,Basic Materials,Other Precious Metals & Mining,United States
GAMESTOP CORP CLASS A,GME,Consumer Cyclical,Specialty Retail,United States
ELEMENT SOLUTIONS INC,ESI,Basic Materials,Specialty Chemicals,United States
NEWS CORP   CLASS A,NWSA,Communication Services,Entertainment,United States
TKO GROUP HOLDINGS INC,TKO,Communication Services,Entertainment,United States
VOYA FINANCIAL INC,VOYA,Financial Services,Financial Conglomerates,United States
KRATOS DEFENSE + SECURITY,KTOS,Industrials,Aerospace & Defense,United States
PRIMERICA INC,PRI,Financial Services,Insurance - Life,United States
SEMTECH CORP,SMTC,Technology,Semiconductors,United States
HALOZYME THERAPEUTICS INC,HALO,Healthcare,Biotechnology,United States
ANTERO RESOURCES CORP,AR,Energy,Oil & Gas E&P,United States
ADVANCED DRAINAGE SYSTEMS IN,WMS,Industrials,Building Products & Equipment,United States
AES CORP,AES,Utilities,Utilities - Diversified,United States
SOUTHSTATE BANK CORP,SSB,Financial Services,Banks - Regional,United States
AMERICAN FINANCIAL GROUP INC,AFG,Financial Services,Insurance - Property & Casualty,United States
CACI INTERNATIONAL INC  CL A,CACI,Technology,Information Technology Services,United States
FLOWSERVE CORP,FLS,Industrials,Specialty Industrial Machinery,United States
OGE ENERGY CORP,OGE,Utilities,Utilities - Regulated Electric,United States
OSHKOSH CORP,OSK,Industrials,Farm & Heavy Construction Machinery,United States
BXP INC,BXP,Real Estate,REIT - Office,United States
RANGE RESOURCES CORP,RRC,Energy,Oil & Gas E&P,United States
FRANKLIN RESOURCES INC,BEN,Financial Services,Asset Management,United States
TIMKEN CO,TKR,Industrials,Tools & Accessories,United States
KRYSTAL BIOTECH INC,KRYS,Healthcare,Biotechnology,United States
CYTOKINETICS INC,CYTK,Healthcare,Biotechnology,United States
ECHOSTAR CORP A,ECHO,Communication Services,Telecom Services,United States
WYNN RESORTS LTD,WYNN,Consumer Cyclical,Resorts & Casinos,United States
ENERSYS,ENS,Industrials,Electrical Equipment & Parts,United States
MURPHY USA INC,MUSA,Consumer Cyclical,Specialty Retail,United States
ESCO TECHNOLOGIES INC,ESE,Technology,Scientific & Technical Instruments,United States
FACTSET RESEARCH SYSTEMS INC,FDS,Financial Services,Financial Data & Stock Exchanges,United States
DOCUSIGN INC,DOCU,Technology,Software - Application,United States
AMERICAN HEALTHCARE REIT INC,AHR,Real Estate,REIT - Healthcare Facilities,United States
BRIXMOR PROPERTY GROUP INC,BRX,Real Estate,REIT - Retail,United States
COLUMBIA BANKING SYSTEM INC,COLB,Financial Services,Banks - Regional,United States
DARLING INGREDIENTS INC,DAR,Consumer Defensive,Packaged Foods,United States
AECOM,ACM,Industrials,Engineering & Construction,United States
CARLYLE GROUP INC/THE,CG,Financial Services,Asset Management,United States
FIRSTCASH HOLDINGS INC,FCFS,Financial Services,Credit Services,United States
WINTRUST FINANCIAL CORP,WTFC,Financial Services,Banks - Regional,United States
MANHATTAN ASSOCIATES INC,MANH,Technology,Software - Application,United States
CULLEN/FROST BANKERS INC,CFR,Financial Services,Banks - Regional,United States
DUTCH BROS INC CLASS A,BROS,Consumer Cyclical,Restaurants,United States
CUBESMART,CUBE,Real Estate,REIT - Industrial,United States
BRIGHTSPRING HEALTH SERVICES,BTSG,Healthcare,Health Information Services,United States
CORCEPT THERAPEUTICS INC,CORT,Healthcare,Biotechnology,United States
SEI INVESTMENTS COMPANY,SEIC,Financial Services,Asset Management,United States
POWELL INDUSTRIES INC,POWL,Industrials,Electrical Equipment & Parts,United States
NORWEGIAN CRUISE LINE HOLDIN,NCLH,Consumer Cyclical,Travel Services,United States
VALMONT INDUSTRIES,VMI,Industrials,Conglomerates,United States
ENSIGN GROUP INC/THE,ENSG,Healthcare,Medical Care Facilities,United States
FEDERAL REALTY INVS TRUST,FRT,Real Estate,REIT - Retail,United States
AUTOLIV INC,ALV,Consumer Cyclical,Auto Parts,Sweden
HYATT HOTELS CORP   CL A,H,Consumer Cyclical,Lodging,United States
ESSENTIAL UTILITIES INC,WTRG,Utilities,Utilities - Regulated Water,United States
QORVO INC,QRVO,Technology,Semiconductors,United States
PLEXUS CORP,PLXS,Technology,Electronic Components,United States
ALCOA CORP,AA,Basic Materials,Aluminum,United States
SIMPSON MANUFACTURING CO INC,SSD,Basic Materials,Lumber & Wood Production,United States
EASTGROUP PROPERTIES INC,EGP,Real Estate,REIT - Industrial,United States
JEFFERIES FINANCIAL GROUP IN,JEF,Financial Services,Capital Markets,United States
ALKERMES PLC,ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
CNH INDUSTRIAL NV,CNH,Industrials,Farm & Heavy Construction Machinery,United Kingdom
INTERDIGITAL INC,IDCC,Technology,Software - Application,United States
FLUOR CORP,FLR,Industrials,Engineering & Construction,United States
CIRRUS LOGIC INC,CRUS,Technology,Semiconductors,United States
AMKOR TECHNOLOGY INC,AMKR,Technology,Semiconductor Equipment & Materials,United States
TRADE DESK INC/THE  CLASS A,TTD,Communication Services,Advertising Agencies,United States
CARMAX INC,KMX,Consumer Cyclical,Auto & Truck Dealerships,United States
COCA COLA CONSOLIDATED INC,COKE,Consumer Defensive,Beverages - Non-Alcoholic,United States
AVNET INC,AVT,Technology,Electronics & Computer Distribution,United States
LITHIA MOTORS INC,LAD,Consumer Cyclical,Auto & Truck Dealerships,United States
UNIVERSAL HEALTH SERVICES B,UHS,Healthcare,Medical Care Facilities,United States
HEXCEL CORP,HXL,Industrials,Aerospace & Defense,United States
GLOBUS MEDICAL INC   A,GMED,Healthcare,Medical Devices,United States
POOL CORP,POOL,Industrials,Industrial Distribution,United States
NNN REIT INC,NNN,Real Estate,REIT - Retail,United States
DOMINO S PIZZA INC,DPZ,Consumer Cyclical,Restaurants,United States
ALEXANDRIA REAL ESTATE EQUIT,ARE,Real Estate,REIT - Office,United States
KULICKE + SOFFA INDUSTRIES,KLIC,Technology,Semiconductor Equipment & Materials,United States
ARROWHEAD PHARMACEUTICALS IN,ARWR,Healthcare,Biotechnology,United States
FIRST INDUSTRIAL REALTY TR,FR,Real Estate,REIT - Industrial,United States
WESTERN ALLIANCE BANCORP,WAL,Financial Services,Banks - Regional,United States
OLD REPUBLIC INTL CORP,ORI,Financial Services,Insurance - Property & Casualty,United States
RALLIANT CORP,RAL,Technology,Electronic Components,United States
TETRA TECH INC,TTEK,Industrials,Engineering & Construction,United States
MAXLINEAR INC,MXL,Technology,Semiconductors,United States
SPROUTS FARMERS MARKET INC,SFM,Consumer Defensive,Grocery Stores,United States
APTARGROUP INC,ATR,Healthcare,Medical Instruments & Supplies,United States
EASTMAN CHEMICAL CO,EMN,Basic Materials,Specialty Chemicals,United States
COMMERCE BANCSHARES INC,CBSH,Financial Services,Banks - Regional,United States
AGREE REALTY CORP,ADC,Real Estate,REIT - Retail,United States
FEDERAL SIGNAL CORP,FSS,Industrials,Farm & Heavy Construction Machinery,United States
CHART INDUSTRIES INC,GTLS,Industrials,Specialty Industrial Machinery,United States
OLD NATIONAL BANCORP,ONB,Financial Services,Banks - Regional,United States
LANDSTAR SYSTEM INC,LSTR,Industrials,Integrated Freight & Logistics,United States
MGIC INVESTMENT CORP,MTG,Financial Services,Insurance - Specialty,United States
EVERUS CONSTRUCTION GROUP,ECG,Industrials,Engineering & Construction,United States
HANOVER INSURANCE GROUP INC/,THG,Financial Services,Insurance - Property & Casualty,United States
TAYLOR MORRISON HOME CORP,TMHC,Consumer Cyclical,Residential Construction,United States
MGM RESORTS INTERNATIONAL,MGM,Consumer Cyclical,Resorts & Casinos,United States
IDACORP INC,IDA,Utilities,Utilities - Regulated Electric,United States
AXALTA COATING SYSTEMS LTD,AXTA,Basic Materials,Specialty Chemicals,United States
GRANITE CONSTRUCTION INC,GVA,Industrials,Engineering & Construction,United States
DIGITALOCEAN HOLDINGS INC,DOCN,Technology,Software - Infrastructure,United States
SMITH (A.O.) CORP,AOS,Industrials,Specialty Industrial Machinery,United States
COREBRIDGE FINANCIAL INC,CRBG,Financial Services,Asset Management,United States
PROSPERITY BANCSHARES INC,PB,Financial Services,Banks - Regional,United States
FIRST AMERICAN FINANCIAL,FAF,Financial Services,Insurance - Specialty,United States
EAGLE MATERIALS INC,EXP,Basic Materials,Building Materials,United States
MYR GROUP INC/DELAWARE,MYRG,Industrials,Engineering & Construction,United States
RYMAN HOSPITALITY PROPERTIES,RHP,Real Estate,REIT - Hotel & Motel,United States
PROTAGONIST THERAPEUTICS INC,PTGX,Healthcare,Biotechnology,United States
MOLSON COORS BEVERAGE CO   B,TAP,Consumer Defensive,Beverages - Brewers,United States
KIRBY CORP,KEX,Industrials,Marine Shipping,United States
LEAR CORP,LEA,Consumer Cyclical,Auto Parts,United States
COMMERCIAL METALS CO,CMC,Industrials,Metal Fabrication,United States
CHEMED CORP,CHE,Healthcare,Medical Care Facilities,United States
LANTHEUS HOLDINGS INC,LNTH,Healthcare,Drug Manufacturers - Specialty & Generic,United States
MOSAIC CO/THE,MOS,Basic Materials,Agricultural Inputs,United States
MAPLEBEAR INC,CART,Consumer Cyclical,Internet Retail,United States
FOX CORP   CLASS B,FOX,Communication Services,Entertainment,United States
HOULIHAN LOKEY INC,HLI,Financial Services,Capital Markets,United States
UL SOLUTIONS INC   CLASS A,ULS,Industrials,Specialty Business Services,United States
LKQ CORP,LKQ,Consumer Cyclical,Auto Parts,United States
STONEX GROUP INC,SNEX,Financial Services,Capital Markets,United States
LIQUIDIA CORP,LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,United States
UGI CORP,UGI,Utilities,Utilities - Regulated Gas,United States
KINSALE CAPITAL GROUP INC,KNSL,Financial Services,Insurance - Property & Casualty,United States
AGCO CORP,AGCO,Industrials,Farm & Heavy Construction Machinery,United States
HEALTHEQUITY INC,HQY,Healthcare,Health Information Services,United States
HIMS + HERS HEALTH INC,HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,United States
IRIDIUM COMMUNICATIONS INC,IRDM,Communication Services,Telecom Services,United States
COMMVAULT SYSTEMS INC,CVLT,Technology,Software - Application,United States
HORMEL FOODS CORP,HRL,Consumer Defensive,Packaged Foods,United States
NOV INC,NOV,Energy,Oil & Gas Equipment & Services,United States
MACY S INC,M,Consumer Cyclical,Department Stores,United States
SENSATA TECHNOLOGIES HOLDING,ST,Technology,Scientific & Technical Instruments,United States
LUMEN TECHNOLOGIES INC,LUMN,Communication Services,Telecom Services,United States
REXFORD INDUSTRIAL REALTY IN,REXR,Real Estate,REIT - Industrial,United States
AFFILIATED MANAGERS GROUP,AMG,Financial Services,Asset Management,United States
ARMSTRONG WORLD INDUSTRIES,AWI,Industrials,Building Products & Equipment,United States
MATSON INC,MATX,Industrials,Marine Shipping,United States
BRINKER INTERNATIONAL INC,EAT,Consumer Cyclical,Restaurants,United States
VICOR CORP,VICR,Technology,Electronic Components,United States
MIDDLEBY CORP,MIDD,Industrials,Specialty Industrial Machinery,United States
MOHAWK INDUSTRIES INC,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States
SILICON LABORATORIES INC,SLAB,Technology,Semiconductors,United States
STAG INDUSTRIAL INC,STAG,Real Estate,REIT - Industrial,United States
CONAGRA BRANDS INC,CAG,Consumer Defensive,Packaged Foods,United States
HANCOCK WHITNEY CORP,HWC,Financial Services,Banks - Regional,United States
MADISON SQUARE GARDEN SPORTS,MSGS,Communication Services,Entertainment,United States
NATIONAL FUEL GAS CO,NFG,Energy,Oil & Gas Integrated,United States
CHORD ENERGY CORP,CHRD,Energy,Oil & Gas E&P,United States
WYNDHAM HOTELS + RESORTS INC,WH,Consumer Cyclical,Lodging,United States
ANTERO MIDSTREAM CORP,AM,Energy,Oil & Gas Midstream,United States
ENPRO INC,NPO,Industrials,Specialty Industrial Machinery,United States
