Ticker,Description
AIQD,Microsectors -3x Short Artificial Intelligence
AIQU,Microsectors 3x Long Artificial Intelligence
BERZ,MicroSectors FANG & Innovation -3X ETN
BULZ,MicroSectorsTM Solactive FANG Innovation 3X Leveraged ETNs
CARD,MAX Auto Industry -3X Inverse Leveraged ETN
CARU,MAX Auto Industry 3X Leveraged ETN
CURE,Direxion Daily Healthcare Bull 3X ETF
DFEN,Direxion Daily Aerospace & Defense Bull 3X ETF
DPST,Direxion Daily Regional Banks Bull 3X ETF
DRN,Direxion Daily Real Estate Bull 3X ETF
DRV,Direxion Daily Real Estate Bear 3X ETF
DULL,MicroSectors Gold -3X Inverse Leveraged ETNs
DUSL,Direxion Daily Industrials Bull 3X ETF
EDC,Direxion Daily MSCI Emerging Markets Bull 3X ETF
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X ETF
EURL,Direxion Daily FTSE Europe Bull 3X ETF
FAS,Direxion Financial Bull 3X ETF
FAZ,Direxion Financial Bear 3X ETF
FLYD,MicroSectors Travel -3x Inverse Leveraged ETN
FLYU,MicroSectors Travel 3x Leveraged ETN
FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETNs
FNGU,MicroSectors FANG+ 3X Leveraged ETNs
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs
GDXU,MicroSectors Gold Miners 3X Leveraged ETN
HIBL,Direxion Daily S&P 500 High Beta Bull 3X ETF
HIBS,Direxion Daily S&P 500 High Beta Bear 3X ETF
HNDL,Nasdaq 7HANDL Index ETF 1.23x Shares
HYGD,MicroSectors -3x Short High Yield Corporate Bond (HYG) ETNs
HYGU,MicroSectors 3x Long High Yield Corporate Bond (HYG) ETNs
JETD,MAX Airlines -3X Inverse Leveraged ETNs
JETU,MAX Airlines 3X Leveraged ETNs
KORU,Direxion Daily MSCI South Korea Bull 3X ETF
LABD,Direxion Daily S&P Biotech Bear 3X ETF
LABU,Direxion Daily S&P Biotech Bull 3X ETF
LQDD,MicroSectors -3x Short Investment Grade Corporate Bond (LQD) ETNs
LQDU,MicroSectors 3x Long Investment Grade Corporate Bond (LQD) ETNs
MEXX,Direxion Daily MSCI Mexico Bull 3X ETF
MIDU,Direxion Daily Mid Cap Bull 3X ETF
MNGU,MicroSectors 3x Long MANGOS+ ex Private Companies ETNs
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X ETF
OILD,MicroSectors Oil & Gas E&P -3X ETN
OILU,MicroSectors Oil & Gas E&P 3X ETN
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X ETF
RETL,Direxion Daily Retail Bull 3X ETF
SDOW,ProShares UltraPro Short Dow30 -3x Shares
SHNY,MicroSectors Gold 3X Leveraged ETNs
SMDD,ProShares UltraPro Short MidCap400 -3x Shares
SMHD,MicroSectors -3x Short Semiconductor ETNs
SMHU,MicroSectors 3x Long Semiconductor ETNs
SOXL,Direxion Daily Semiconductor Bull 3X ETF
SOXS,Direxion Daily Semiconductor Bear 3X ETF
SPXL,Direxion Daily S&P 500 Bull 3X ETF
SPXS,Direxion Daily S&P 500 Bear 3X ETF
SQQQ,ProShares UltraPro Short QQQ -3x Shares
SRTY,ProShares UltraPro Short Russell2000 -3x Shares
TECL,Direxion Daily Technology Bull 3X ETF
TECS,Direxion Technology Bear 3X ETF
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares
TMV,Direxion Daily 20+ Year Treasury Bear -3X Shares
TNA,Direxion Small Cap Bull 3X ETF
TPOR,Direxion Daily Transportation Bull 3X ETF
TQQQ,ProShares UltraPro QQQ 3x Shares
TTT,ProShares UltraPro Short 20+ Year Treasury -3x Shares
TYD,Direxion Daily 7-10 Year Treasury Bull 3X Shares
TYO,Direxion Daily 7-10 Year Treasury Bear -3X Shares
TZA,Direxion Small Cap Bear 3X ETF
UDOW,ProShares UltraPro Dow30 3x Shares
UMDD,ProShares UltraPro MidCap400 3x Shares
UPRO,ProShares UltraPro S&P 500 ETF 3x Shares
URTY,ProShares UltraPro Russell2000 3x Shares
UTSL,Direxion Daily Utilities Bull 3X ETF
WANT,Direxion Daily Consumer Discretionary Bull 3X ETF
WEBL,Direxion Daily Dow Jones Internet Bull 3X ETF
WEBS,Direxion Daily Dow Jones Internet Bear 3X ETF
WTID,MicroSectorsTM Energy 3X Inverse Leveraged ETNs
WTIU,MicroSectorsTM Energy 3X Leveraged ETNs
XLCD,MicroSectors -3x Short Communication Services (XLC) ETNs
XLCU,MicroSectors 3x Long Communication Services (XLC) ETNs
XLPD,MicroSectors -3x Short Consumer Staples (XLP) ETNs
XLPU,MicroSectors 3x Long Consumer Staples (XLP) ETNs
YANG,Direxion Daily FTSE China Bear 3X ETF
YINN,Direxion Daily FTSE China Bull 3X ETF
